File Name,Markup,Does it work?,Function,Notes/Observations,Video Recording
Bht_Talking_Poses,"<mark name=""cmd:behaviour-tree,data:{+transition+:0.5,+duration+:1.0,+repeat+:1,+layerBlendInTime+:0.5,+layerBlendOutTime+:0.5,+blocking+:false,+action+:0,+variableName+:++,+variableValue+:++,+lifetime+:0,+category+:+BehaviourTree+,+behaviour+:+Bht_Talking_Poses+,+Track+:++}""/><mark name=""cmd:behaviour-tree,data:{+transition+:0.5,+duration+:1.0,+repeat+:1,+layerBlendInTime+:0.5,+layerBlendOutTime+:0.5,+blocking+:false,+action+:3,+variableName+:+gesture+,+variableValue+:+talk+,+lifetime+:0,+category+:+BehaviourTree+,+behaviour+:+Bht_Talking_Poses+,+Track+:++}""/><usel variant=""1"" genre=""none"">How have you been feeling,</usel> since I last saw you?",,How have you been feeling since the last time I saw you?,,
Bht_Talking_Poses,"<mark name=""cmd:behaviour-tree,data:{+transition+:0.5,+duration+:1.0,+repeat+:1,+layerBlendInTime+:0.5,+layerBlendOutTime+:0.5,+blocking+:false,+action+:0,+variableName+:++,+variableValue+:++,+lifetime+:0,+category+:+BehaviourTree+,+behaviour+:+Bht_Talking_Poses+,+Track+:++}""/><mark name=""cmd:behaviour-tree,data:{+transition+:0.5,+duration+:1.0,+repeat+:1,+layerBlendInTime+:0.5,+layerBlendOutTime+:0.5,+blocking+:false,+action+:3,+variableName+:+gesture+,+variableValue+:+talk+,+lifetime+:0,+category+:+BehaviourTree+,+behaviour+:+Bht_Talking_Poses+,+Track+:++}""/>How have you <emphasis level=""reduced"">been since I</emphasis>saw you?",,How have you been since the last time I saw you?,,
Bht_Talking_Poses,"<mark name=""cmd:behaviour-tree,data:{+transition+:0.5,+duration+:1.0,+repeat+:1,+layerBlendInTime+:0.5,+layerBlendOutTime+:0.5,+blocking+:false,+action+:0,+variableName+:++,+variableValue+:++,+lifetime+:0,+category+:+BehaviourTree+,+behaviour+:+Bht_Talking_Poses+,+Track+:++}""/><mark name=""cmd:behaviour-tree,data:{+transition+:0.5,+duration+:1.0,+repeat+:1,+layerBlendInTime+:0.5,+layerBlendOutTime+:0.5,+blocking+:false,+action+:3,+variableName+:+gesture+,+variableValue+:+talk+,+lifetime+:0,+category+:+BehaviourTree+,+behaviour+:+Bht_Talking_Poses+,+Track+:++}""/>I <emphasis level=""reduced"">feel like </emphasis><usel variant=""4"" genre=""motivational"">it's been forever!</usel><emphasis level=""moderate"">How</emphasis> have <prosody pitch=""high"" rate=""slow"" volume=""soft"">you been?</prosody>",,I feel like it's been forever! How have you been?,,
Bht_Talking_Poses,"<mark name=""cmd:behaviour-tree,data:{+transition+:0.5,+duration+:1.0,+repeat+:1,+layerBlendInTime+:0.5,+layerBlendOutTime+:0.5,+blocking+:false,+action+:0,+variableName+:++,+variableValue+:++,+lifetime+:0,+category+:+BehaviourTree+,+behaviour+:+Bht_Talking_Poses+,+Track+:++}""/><mark name=""cmd:behaviour-tree,data:{+transition+:0.5,+duration+:1.0,+repeat+:1,+layerBlendInTime+:0.5,+layerBlendOutTime+:0.5,+blocking+:false,+action+:3,+variableName+:+gesture+,+variableValue+:+talk+,+lifetime+:0,+category+:+BehaviourTree+,+behaviour+:+Bht_Talking_Poses+,+Track+:++}""/>How are you feeling today?",,How are you feeling today?,,
Bht_Talking_Poses,"<mark name=""cmd:behaviour-tree,data:{+transition+:0.5,+duration+:1.0,+repeat+:1,+layerBlendInTime+:0.5,+layerBlendOutTime+:0.5,+blocking+:false,+action+:0,+variableName+:++,+variableValue+:++,+lifetime+:0,+category+:+BehaviourTree+,+behaviour+:+Bht_Talking_Poses+,+Track+:++}""/><mark name=""cmd:behaviour-tree,data:{+transition+:0.5,+duration+:1.0,+repeat+:1,+layerBlendInTime+:0.5,+layerBlendOutTime+:0.5,+blocking+:false,+action+:3,+variableName+:+gesture+,+variableValue+:+talk+,+lifetime+:0,+category+:+BehaviourTree+,+behaviour+:+Bht_Talking_Poses+,+Track+:++}""/><usel variant=""2"" genre=""none"">How was your day today?</usel>",,How was your day today?,,
Bht_Talking_Poses,"<mark name=""cmd:behaviour-tree,data:{+transition+:0.5,+duration+:1.0,+repeat+:1,+layerBlendInTime+:0.5,+layerBlendOutTime+:0.5,+blocking+:false,+action+:0,+variableName+:++,+variableValue+:++,+lifetime+:0,+category+:+BehaviourTree+,+behaviour+:+Bht_Talking_Poses+,+Track+:++}""/><mark name=""cmd:behaviour-tree,data:{+transition+:0.5,+duration+:1.0,+repeat+:1,+layerBlendInTime+:0.5,+layerBlendOutTime+:0.5,+blocking+:false,+action+:3,+variableName+:+gesture+,+variableValue+:+talk+,+lifetime+:0,+category+:+BehaviourTree+,+behaviour+:+Bht_Talking_Poses+,+Track+:++}""/>How <emphasis level=""reduced"">was school </emphasis>today?",,How was school today?,,
Bht_Talking_Poses,"<mark name=""cmd:behaviour-tree,data:{+transition+:0.5,+duration+:1.0,+repeat+:1,+layerBlendInTime+:0.5,+layerBlendOutTime+:0.5,+blocking+:false,+action+:0,+variableName+:++,+variableValue+:++,+lifetime+:0,+category+:+BehaviourTree+,+behaviour+:+Bht_Talking_Poses+,+Track+:++}""/><mark name=""cmd:behaviour-tree,data:{+transition+:0.5,+duration+:1.0,+repeat+:1,+layerBlendInTime+:0.5,+layerBlendOutTime+:0.5,+blocking+:false,+action+:3,+variableName+:+gesture+,+variableValue+:+talk+,+lifetime+:0,+category+:+BehaviourTree+,+behaviour+:+Bht_Talking_Poses+,+Track+:++}""/>How<emphasis level=""reduced""> did your day</emphasis> go today?",,How did your day go today?,,
Bht_Talking_Poses,"<mark name=""cmd:behaviour-tree,data:{+transition+:0.5,+duration+:1.0,+repeat+:1,+layerBlendInTime+:0.5,+layerBlendOutTime+:0.5,+blocking+:false,+action+:0,+variableName+:++,+variableValue+:++,+lifetime+:0,+category+:+BehaviourTree+,+behaviour+:+Bht_Talking_Poses+,+Track+:++}""/><mark name=""cmd:behaviour-tree,data:{+transition+:0.5,+duration+:1.0,+repeat+:1,+layerBlendInTime+:0.5,+layerBlendOutTime+:0.5,+blocking+:false,+action+:3,+variableName+:+gesture+,+variableValue+:+talk+,+lifetime+:0,+category+:+BehaviourTree+,+behaviour+:+Bht_Talking_Poses+,+Track+:++}""/><emphasis level=""strong"">So...</emphasis><usel variant=""2"" genre=""none""> how was your day today?</usel>",,So... how was your day today?,,
Bht_Talking_Poses,"<mark name=""cmd:behaviour-tree,data:{+transition+:0.5,+duration+:1.0,+repeat+:1,+layerBlendInTime+:0.5,+layerBlendOutTime+:0.5,+blocking+:false,+action+:0,+variableName+:++,+variableValue+:++,+lifetime+:0,+category+:+BehaviourTree+,+behaviour+:+Bht_Talking_Poses+,+Track+:++}""/><mark name=""cmd:behaviour-tree,data:{+transition+:0.5,+duration+:1.0,+repeat+:1,+layerBlendInTime+:0.5,+layerBlendOutTime+:0.5,+blocking+:false,+action+:3,+variableName+:+gesture+,+variableValue+:+talk+,+lifetime+:0,+category+:+BehaviourTree+,+behaviour+:+Bht_Talking_Poses+,+Track+:++}""/><usel variant=""2"" genre=""none"">Are you feeling better <usel variant=""0"" genre=""none"">today?</usel></usel>",,Are you feeling better today?,,
Bht_Talking_Poses,"<mark name=""cmd:behaviour-tree,data:{+transition+:0.5,+duration+:1.0,+repeat+:1,+layerBlendInTime+:0.5,+layerBlendOutTime+:0.5,+blocking+:false,+action+:0,+variableName+:++,+variableValue+:++,+lifetime+:0,+category+:+BehaviourTree+,+behaviour+:+Bht_Talking_Poses+,+Track+:++}""/><mark name=""cmd:behaviour-tree,data:{+transition+:0.5,+duration+:1.0,+repeat+:1,+layerBlendInTime+:0.5,+layerBlendOutTime+:0.5,+blocking+:false,+action+:3,+variableName+:+gesture+,+variableValue+:+talk+,+lifetime+:0,+category+:+BehaviourTree+,+behaviour+:+Bht_Talking_Poses+,+Track+:++}""/><usel variant=""3"" genre=""none"">Tell me about your day today!</usel>",,Tell me about your day today!,,
